"","participant","ProlificParticipantID","crowding_L5_test","crowding_R5_test","crowding_L5_retest","crowding_R5_retest","reading_Beaver_test","reading_Winter_retest","rsvp_foveal_test","rsvp_foveal_retest","crowding_test","crowding_retest","crowding_R","crowding_L","crowding","rsvp","reading","crowding_var","rsvp_var","reading_var"
"1","AlertGreenBat408","5d1e4a3ed4b9d60001ec8f1c",0.115156484617443,0.305483488604285,-0.124971015731864,0.315850978846412,2.11564419081604,2.23464525224534,2.99668382138364,2.96418716838364,0.210319986610864,0.0954399815572742,0.310667233725348,-0.00490726555721044,0.152879984084069,2.98043549488364,2.17514472153069,0.042823871745467,0.000528016228101202,0.00708062631065004
"2","AlertNeonBat971","5cbab879d7ebf300167feea4",0.127039723536331,-0.130770007473351,0.0476023479869671,-0.145696683025713,2.28635927897039,2.40863657292396,3.10006056838364,2.98390605238364,-0.00186514196850976,-0.0490471675193731,-0.138233345249532,0.0873210357616491,-0.0254561547439414,3.04198331038364,2.34749792594718,0.018047109977315,0.00674593579359717,0.00747586830830393
"3","AlertNeonMouse999","66bce8ffb61a51410b552a2d",-0.431416935655168,-0.188758686593961,0.0490057151731454,-0.0994621037302348,2.4950960674929,2.46187725854651,2.57061548838364,2.94356034038364,-0.310087811124565,-0.0252281942785447,-0.144110395162098,-0.191205610241011,-0.167658002701555,2.75708791438364,2.47848666301971,0.0405359536177834,0.0695439313166509,0.000551744633908176
"4","AlertSkyBird989","672501c7bc2f7f52114f2a5e",-0.143430585975477,0.197869581046968,-0.171547931520206,-0.213858592307526,2.50887084736371,2.44030549981668,3.37724407638364,3.46611679238364,0.0272194975357457,-0.192703261913866,-0.00799450563027913,-0.157489258747841,-0.0827418821890602,3.42168043438364,2.47458817359019,0.0358346727122786,0.00394917982460833,0.00235060344212243
"5","AlertYellowFox366","5f4538b6ffe9f50c3cbe3ae1",0.00681487121485708,-0.294272793046901,-0.190656138242149,-0.315644441504198,2.5193037397182,2.59455082311361,2.83548882838364,2.88765771138364,-0.143728960916022,-0.253150289873174,-0.30495861727555,-0.0919206335136462,-0.198439625394598,2.86157326988364,2.55692728141591,0.0217036519974042,0.00136079617673383,0.00283106177975841
"6","BraveBronzeGrape583","673b051541d4c485962acf64",-0.501696070975166,-0.110751559272543,-0.00791859323359897,0.031904197625652,2.53596533735306,2.48664151663027,3.07706100438364,3.08800525338364,-0.306223815123855,0.0119928021960265,-0.0394236808234457,-0.254807332104383,-0.147115506463914,3.08253312888364,2.51130342699166,0.059491182829873,5.98882930870007e-05,0.00121641964534709
"7","BraveSilverBanana158","58ccfada8460040001e1ec4f",-0.401921526456605,0.0288885100827049,-0.428116474901091,-0.282590750445604,2.599076525839,2.58974205448471,3.43265660838364,3.39888163638364,-0.18651650818695,-0.355353612673348,-0.12685112018145,-0.415019000678848,-0.270935060430149,3.41576912238364,2.59440929016185,0.0439644932939995,0.000570374366800385,4.35661777320572e-05
"8","BrightBronzeOrange862","66a1026d9687314647aac148",0.515974748785411,0.300820290467175,0.503478321188626,0.36670332661153,2.26597193087624,2.2046123150828,2.82344392438364,2.79592166038364,0.408397519626293,0.435090823900078,0.333761808539353,0.509726534987018,0.421744171763186,2.80968279238364,2.23529212297952,0.0110706508436473,0.000378737507842845,0.00188250122515932
"9","BusyRedPig475","671ea8aa6fe43d49c85d039f",0.283546959669104,0.155970876826673,0.291681149960626,-0.107079738076567,2.52433145687614,2.29286082934376,2.93276525838364,2.71164254338364,0.219758918247888,0.0923007059420293,0.0244455693750527,0.287614054814865,0.156029812094959,2.82220390088364,2.40859614310995,0.0346295157516735,0.0244476275444856,0.0267893257051158
"10","CleverBlueFox269","5fdfd04b9bf07d83b2e5f780",0.478116478297456,0.367640808622341,0.469281257094725,0.276685275051339,2.31811502401687,2.40462788969331,2.74412633938364,2.72675197038364,0.422878643459899,0.372983266073032,0.32216304183684,0.473698867696091,0.397930954766465,2.73543915488364,2.36137145685509,0.00904619720976284,0.000150934349074075,0.00374223796377551
"11","CleverPurpleLion676","66283d9da33f3d5231de7e21",0.524918856209576,0.487129506301105,0.386242576594323,0.349956882202706,2.25394285920246,2.2800822908828,2.89092333738364,2.82183892238364,0.50602418125534,0.368099729398515,0.418543194251905,0.45558071640195,0.437061955326927,2.85638112988364,2.26701257504263,0.00679849923733308,0.0023863281979461,0.00034163494428571
"12","CoolGreenBean657","65cf6d8a589a67afcab54e6f",0.471000580737339,0.269124469229589,0.212888663374203,0.668694264204676,2.24644558404053,2.35026329621399,2.73192843338364,2.94250649138364,0.370062524983464,0.44079146378944,0.468909366717133,0.341944622055771,0.405426994386452,2.83721746238364,2.29835444012726,0.0430863126191929,0.0221715592555257,0.00538905868046542
"13","CoolRedDove848","674da528696781e1b9760305",0.342863254724112,0.276558128049006,0.346018755852761,0.232351670795182,2.69104138331318,2.67573492578847,2.79966100938364,2.70227151238364,0.309710691386559,0.289185213323971,0.254454899422094,0.344441005288436,0.299447952355265,2.75096626088364,2.68338815455083,0.00302652775804737,0.0047423570629565,0.000117143820977909
"14","CrazyNavyPlum695","666fb6f24d1c14f333eb4a0a",-0.113499670821454,-0.0389532672282595,-0.171204037252905,-0.274716137542864,2.57755499297806,2.55232891409811,3.03544959238364,2.98942677238364,-0.0762264690248566,-0.222960087397885,-0.156834702385562,-0.142351854037179,-0.149593278211371,3.01243818238364,2.56494195353809,0.00988890511946678,0.00105904998037619,0.000318177527828676
"15","CrazyRedCarrot329","6735d91681ea114351c24523",0.294466484974573,0.219204089761773,0.154858987330569,-0.0124527623689714,2.06609612436228,2.03653205757202,2.38088240538364,2.55862319138364,0.256835287368173,0.0712031124807986,0.103375663696401,0.224662736152571,0.164019199924486,2.46975279838364,2.05131409096715,0.0170960430712537,0.0157958935039489,0.000437017022589665
"16","DownAquaFish337","5c59ceb27e554c0001257ff4",0.507391569283407,-0.0396224007569017,0.413199770603002,-0.210935215225347,2.46587839515038,2.52725620372603,3.32180452438364,3.17687298138364,0.233884584263253,0.101132277688827,-0.125278807991124,0.460295669943204,0.16750843097604,3.24933875288364,2.49656729943821,0.120669185625979,0.0105025760781804,0.00188361769277406
"17","DownBronzePot383","673594215b1a0b92d5835525",-0.0135225448545636,0.0180181951019876,-0.219114775289444,-0.318437103942069,2.67711363990902,2.65761181107076,2.70669748838364,2.78582729338364,0.00224782512371199,-0.268775939615756,-0.150209454420041,-0.116318660072004,-0.133264057246022,2.74626239088364,2.66736272548989,0.026294584225516,0.00313076301966901,0.000190160664018477
"18","DownFireBat797","673e43cc760355e9e4f042a3",0.0262930859775477,0.308977557560578,0.0841266523484593,0.0573264802627658,2.30807393285024,2.20563780615381,2.75501402238364,2.58844268038364,0.167635321769063,0.0707265663056126,0.183152018911672,0.0552098691630035,0.119180944037338,2.67172835138364,2.25685586950202,0.0165685622448248,0.0138730059878404,0.00524658002628296
"19","FancySilverWolf645","672c8eee8120e669315a528e",-0.11373828114556,-0.142418484168322,-0.132661859229891,-0.205387420698363,2.43527320594944,2.34626375650501,2.87980112238364,2.88202856338364,-0.128078382656941,-0.169024639964127,-0.173902952433342,-0.123200070187726,-0.148551511310534,2.88091484288364,2.39076848122722,0.00157745888521063,2.48074670424062e-06,0.00396134104520019
"20","GreatAquaDumpling474","6733983217b9e8aaa7b1732d",0.239520219084899,0.122695873132824,0.139119380674297,0.0337727425545719,2.42777894019729,2.39843432636317,2.92664710838364,3.02346507838364,0.181108046108862,0.0864460616144343,0.0782343078436981,0.189319799879598,0.133777053861648,2.97505609338364,2.41310663328023,0.00711127076451744,0.00468685965746045,0.000430553180536892
"21","HandyYellowGoose923","66c33cf5425d52a1afcc8263",-0.489475545544908,-0.447022134068353,-0.218012129715298,-0.360099391299254,2.33628893475937,2.41039728342249,3.38775625038364,3.54212722838364,-0.46824883980663,-0.289055760507276,-0.403560762683804,-0.353743837630103,-0.378652300156953,3.46494173938364,2.37334310909093,0.0143685668979991,0.0119151994243382,0.00274602367078731
"22","HappyGreenShark737","65fb0b185f0a504431d66cf1",-0.0259530648879976,0.0674638720851345,0.0610332693608777,-0.0780755032774331,2.18634693420398,2.17092989333105,2.77641516038364,2.95125430138364,0.0207554035985684,-0.00852111695827769,-0.0053058155961493,0.0175401022364401,0.00611714332014538,2.86383473088364,2.17863841376752,0.00496536734170171,0.015284362612809,0.000118842574638807
"23","HappyNavyOwl119","6661f39b60709465961b06d8",-0.487829478245908,-0.567600628874744,-0.482216960727756,-0.480721326638155,2.51794827337401,2.46530164351485,3.15159418238364,3.31332894038364,-0.527715053560326,-0.481469143682956,-0.52416097775645,-0.485023219486832,-0.504592098621641,3.23246156138364,2.49162495844443,0.00177384029245836,0.0130790659726593,0.00138583381776338
"24","JollyAquaFish688","673e249d764205ff4fdc5af1",0.2869636461401,-0.0374743421911256,0.000706691088207773,-0.0867085530350604,2.61263108539366,2.3813531688574,3.02388843038364,3.01502239938364,0.124744651974487,-0.0430009309734263,-0.062091447613093,0.143835168614154,0.0408718605005305,3.01945541488364,2.49699212712553,0.028196432395769,3.93032528464819e-05,0.0267447373386767
"25","LoudNeonPot314","5883a935c0c9a10001df6345",-0.2136077516242,-0.267939618341047,0.154871537156316,-0.0510414766889798,2.34688653750425,2.23116132793585,2.82622868738364,2.82884222338364,-0.240773684982624,0.0519150302336683,-0.159490547515013,-0.0293681072339419,-0.0944293273744777,2.82753545538364,2.28902393272005,0.0361142481736196,3.41528521164836e-06,0.00669616206482534
"26","LuckyFirePear913","616b06e97addc4a9a638909e",-0.367975115869815,-0.286011420325392,-0.499132786350209,-0.363565329546418,2.39209975818652,2.3825151575111,2.94729683938364,2.89187038838364,-0.326993268097603,-0.431349057948313,-0.324788374935905,-0.433553951110012,-0.379171163022958,2.91958361388364,2.38730745784881,0.00781280741371295,0.00153604573522771,4.59322850536297e-05
"27","RealGrayDove056","64e7e9cacf76d2e8deb2c7d5",-0.309491211150734,-0.392925105730011,-0.195605663900045,-0.311757952063898,2.74494431067642,2.76325053957785,3.39888163638364,3.34373019138364,-0.351208158440373,-0.253681807981971,-0.352341528896955,-0.252548437525389,-0.302444983211172,3.37130591388364,2.75409742512713,0.0065792244796391,0.00152084094279401,0.000167559008295828
"28","SpeedyBlackDove988","66aa651e21c9af8ebcd8081e",0.192378092837481,0.226401914328563,0.316932659279899,0.283302766148533,2.35919026751005,2.28665738015171,3.04226749738364,3.24936035738364,0.209390003583022,0.300117712714216,0.254852340238548,0.25465537605869,0.254753858148619,3.14581392738364,2.32292382383088,0.00312527075821223,0.0214437263314899,0.00263050987426888
"29","SpeedySilverBird276","616e239c6264d82a051c5191",0.325729719423782,0.0377263870755371,0.132944056129435,-0.145112008575604,2.25060788819859,2.31857152638897,3.26785097538364,3.00155298738364,0.18172805324966,-0.00608397622308485,-0.0536928107500337,0.229336887776609,0.0878220385132875,3.13470198138364,2.28458970729378,0.0384679685653815,0.035457309206424,0.00230952805803643
"30","SpeedySilverFish608","6737e76eaca5f66fea77dfad",-0.0340668195257955,0.0281309444903567,-0.00741142987667166,0.00952580301171568,2.50696882371275,2.38116168389185,2.89016227138364,2.60111752638364,-0.00296793751771939,0.00105718656752201,0.0188283737510362,-0.0207391247012336,-0.000955375475098692,2.74563989888364,2.4440652538023,0.000697972492387936,0.0417734323060575,0.00791371821495788
"31","SpicyGoldDragon366","611d0afbb2a19acfd012545b",0.298096364978418,-0.185038639982783,0.10405675439509,0.00968939565163889,1.95262230992583,1.77893741325518,2.71982904238364,2.56481051838364,0.0565288624978176,0.0568730750233647,-0.0876746221655722,0.201076559686754,0.0567009687605911,2.64231978038364,1.86577986159051,0.0403874780632669,0.0120153713915693,0.0150832216657483
"32","SpicyRedBird935","6604b1a8441e527fc9590694",0.00631134253851378,-0.0620296083504515,0.122448931242267,0.0245941583953539,2.19992899193415,2.17423418857432,2.62846035838364,2.83303709338364,-0.0278591329059689,0.0735215448188107,-0.0187177249775488,0.0643801368903906,0.0228312059564209,2.73074872588364,2.18708159025424,0.0058003542948667,0.0209258202516302,0.000330111459850048
"33","TallBlueWolf100","5c2532b88e8f1e0001a88fcb",-0.286710322126375,-0.154840371468705,-0.321749741703626,0.1030114536205,2.60493997597942,2.5560020575855,3.16772704338364,3.01470131238364,-0.22077534679754,-0.109369144041563,-0.0259144589241026,-0.304230031915001,-0.165072245419552,3.09121417788364,2.58047101678246,0.0371057401607747,0.0117084371740421,0.00119745992836462
"34","TallFireCarrot216","6715c7aedee148c65c10509c",-0.0911867442492801,0.155552639595598,-0.167512066778633,0.2544018837738,2.49982198112951,2.48266395973952,2.89656620938364,2.84228294938364,0.032182947673159,0.0434449084975831,0.204977261684699,-0.129349405513957,0.0378139280853711,2.86942457938364,2.49124297043452,0.0398575614556888,0.0014733361581138,0.000147198849009761
"35","TallGoldSpider241","64d8f12bfc5928b6ee4d55e0",0.414754712366732,0.581231226293919,0.298029916765021,0.468767770434546,2.20324298127688,2.25749731620694,2.63119919138364,2.75521592938364,0.497992969330325,0.383398843599784,0.524999498364233,0.356392314565877,0.440695906465055,2.69320756038364,2.23037014874191,0.0138549119448199,0.00769007565208031,0.0014717664293512
"36","UpAquaLime139","66900002ff048b17b2161309",-0.373800936841324,-0.253891723883035,-0.386863491082898,-0.315759052002068,2.18654371125268,2.27153506539468,3.01674714538364,3.00270194738364,-0.31384633036218,-0.351311271542483,-0.284825387942552,-0.380332213962111,-0.332578800952331,3.00972454638364,2.22903938832368,0.0037068840407605,9.86337934295994e-05,0.00361176513944556
"37","WiseBrownBanana384","648b962b8fdb1fa686213ac1",-0.62695385019875,-0.596780894867341,-0.596203525393927,-0.596076897955835,2.33615599988633,2.44311523439736,3.10262017138364,3.33924779338364,-0.611867372533046,-0.596140211674881,-0.596428896411588,-0.611578687796339,-0.604003792103963,3.22093398238364,2.38963561714185,0.000234185074209411,0.0279963157466874,0.00572013892359304
